date,description,price,category
02/06/26,Random,500,others
02/06/26,Hygine,50,health_and_fitness
02/05/26,Ice Cream,260,food_and_drinks
02/05/26,Dinner,370,food_and_drinks
02/04/26,Buiscuit,100,food_and_drinks
02/03/26,Biscuit,50,food_and_drinks
02/03/26,Give Away,6000,others
02/02/26,Eggs + Biscuit,220,food_and_drinks
02/02/26,Petrol,900,transport
02/01/26,Travel,100,transport
01/31/26,Travel,200,transport
01/31/26,Lunch,300,food_and_drinks
02/01/26,Lunch,1200,food_and_drinks
01/30/26,Lunch ,700,food_and_drinks
01/28/26,Snacks,150,food_and_drinks
01/26/26,Snacks,200,food_and_drinks
01/26/26,Slalami,5000,others
01/26/26,Weekly Allowance,-3000,recieved
01/26/26,Petrol,850,transport
01/26/26,Bike Wash,150,transport
01/26/26,Bike Tuning,1200,transport
01/25/26,Dont Remember,400,others
01/25/26,Naan,300,food_and_drinks
01/23/26,Office Dinner,100,food_and_drinks
01/22/26,Office Dinner,300,food_and_drinks
01/21/26,Snacks,100,food_and_drinks
01/21/26,Recieved,-1000,recieved
01/21/26,Helmet,1000,shopping
01/21/26,Software,350,others
01/21/26,Package,120,others
01/20/26,snacks,50,food_and_drinks
01/19/26,Snacks,100,food_and_drinks
01/18/26,Recieved,-2000,recieved
01/18/26,Petrol ,600,transport
01/17/26,Lunch,1300,food_and_drinks
01/17/26,Train card,500,transport
01/16/26,Office Snacks,100,food_and_drinks
01/16/26,Office Snacks,200,food_and_drinks
01/15/26,Office Snacks,100,food_and_drinks
01/13/26,Others,100,others
01/13/26,Dinner,1000,food_and_drinks
01/13/26,Petrol,900,transport
01/12/26,Recived from father,-3000,recieved
01/12/26,office snacks,100,food_and_drinks
01/11/26,rotee,60,food_and_drinks
01/11/26,snacks,50,food_and_drinks
01/10/26,dinner,540,food_and_drinks
01/05/26,Petrol,800,transport
01/09/26,Shoes,2500,shopping
01/09/26,Dinner Office,100,food_and_drinks
01/09/26,Petrol,400,transport
01/07/26,Office Dinner,300,food_and_drinks
01/06/26,Office Salary Treat,5000,food_and_drinks
01/01/26,Contabo Payment,1600,others
01/06/26,Add to Spend Pool,-4370,recieved
01/04/26,Recieved,-2000,recieved
01/06/26,Office Dinner,250,food_and_drinks
01/04/26,Snacks,350,food_and_drinks
01/03/26,Dinner,840,food_and_drinks
01/01/26,Fries,100,food_and_drinks
12/31/25,Yearly Closure,-2400,recieved
12/31/25,Office Dinner,520,food_and_drinks
12/30/25,Petrol,600,transport
12/30/25,Office Dinner,300,food_and_drinks
12/30/25,Ayesha Call Pkg,250,others
12/29/25,Ofiice dinner,350,food_and_drinks
12/29/25,Weekly Allowance,-2000,recieved
12/27/25,Snacks,250,food_and_drinks
12/25/25,Fries,150,food_and_drinks
12/25/25,Don't ask,100,others
12/25/25,Rotee,100,food_and_drinks
12/25/25,Bari Call Package,250,others
12/25/25,Office Snacks,120,food_and_drinks
12/23/25,Office Snacks,80,food_and_drinks
12/23/25,Travel Fare,150,transport
12/20/25,Rickshaw Fare,100,transport
12/21/25,Rickshaw Fare,100,transport
12/22/25,Rickshaw Fare,100,transport
12/21/25,Weekly Allowance,-2000,recieved
12/22/25,Chai,300,food_and_drinks
12/21/25,Chai Cake Rusk,300,food_and_drinks
12/19/25,Pens,40,shopping
12/17/25,Gloves,550,health_and_fitness
12/19/25,Dinner in office,610,food_and_drinks
12/19/25,Eraser,50,health_and_fitness
12/18/25,Dinner in office,150,food_and_drinks
12/17/25,Debt paid to abdullah,400,debt_paid
12/17/25,Debt paid to anas,140,debt_paid
12/17/25,From Father,-2000,recieved
12/17/25,Debt paid to isha,600,debt_paid
12/17/25,Dental Floss,420,health_and_fitness
12/17/25,Petrol,760,transport
12/17/25,Dinner in office,560,food_and_drinks
